_,Starting chaos monkey,2024-11-20 09:12:02_793
site_2,Changing board state to Standby_active,2024-11-20 09:12:04_446
site_4,Changing voltage for 1G147TPHGUO8CSZ4 from site_4 to set_high_voltage,2024-11-20 09:12:05_092
site_8,Changing voltage for 4GDO2SL5GXNPRVBT from site_8 to set_normal_voltage,2024-11-20 09:12:10_226
site_6,Changing voltage for HASYFDYE8Q5XI1CE from site_6 to set_high_voltage,2024-11-20 09:12:12_975
site_3,Changing voltage for 8FDQG94HLETQ0KVJ from site_3 to set_high_voltage,2024-11-20 09:12:18_067
site_4,Changing voltage for XYMSNABHT9XTK9CK from site_4 to set_low_voltage,2024-11-20 09:12:19_756
site_8,Changing voltage for 6CXHN0STHGWBJ7GV from site_8 to set_low_voltage,2024-11-20 09:12:21_161
site_7,Changing board state to Standby_active,2024-11-20 09:12:26_469
site_1,Changing board state to Standby_active,2024-11-20 09:12:28_724
site_2,Changing board state to Standby_failed,2024-11-20 09:12:29_749
site_7,Changing board state to Standby_failed,2024-11-20 09:12:33_737
site_8,Changing voltage for 184RU0KYYQ42BSF3 from site_8 to set_normal_voltage,2024-11-20 09:12:37_994
site_5,Changing voltage for 1680AHYS94MPGAHR from site_5 to set_normal_voltage,2024-11-20 09:12:38_628
site_6,Changing board state to Standby_active,2024-11-20 09:12:41_584
site_4,Changing board state to Standby_active,2024-11-20 09:12:41_684
site_8,Changing voltage for VCSO7HWJXJN1EZOF from site_8 to set_normal_voltage,2024-11-20 09:12:46_737
site_4,Changing board state to Standby_failed,2024-11-20 09:12:48_583
site_8,Changing board state to Standby_active,2024-11-20 09:12:50_540
site_2,Changing board state to Standby_active,2024-11-20 09:12:52_270
site_5,Changing voltage for WGDCO24B3DN5YEWU from site_5 to set_low_voltage,2024-11-20 09:12:54_476
site_2,Changing voltage for QG6D96MC6LTULLGW from site_2 to set_normal_voltage,2024-11-20 09:12:56_522
site_7,Changing board state to Standby_active,2024-11-20 09:12:59_062
site_4,Changing voltage for 8FDQG94HLETQ0KVJ from site_4 to set_high_voltage,2024-11-20 09:13:01_209
site_7,Changing board state to Standby_failed,2024-11-20 09:13:01_780
site_3,Changing voltage for MRSRGWZAVG46WZZK from site_3 to set_low_voltage,2024-11-20 09:13:02_649
site_5,Changing board state to Standby_active,2024-11-20 09:13:06_682
site_6,Changing board state to Standby_failed,2024-11-20 09:13:09_918
site_4,Changing voltage for 9GG3DISSVV1BQZZP from site_4 to set_normal_voltage,2024-11-20 09:13:11_181
site_4,Changing voltage for ZD4TR2NKO8VYIYFS from site_4 to set_low_voltage,2024-11-20 09:13:12_185
site_8,Changing voltage for 1680AHYS94MPGAHR from site_8 to set_normal_voltage,2024-11-20 09:13:15_863
site_3,Changing board state to Standby_active,2024-11-20 09:13:24_109
site_6,Changing board state to Standby_active,2024-11-20 09:13:27_456
site_3,Changing board state to Standby_failed,2024-11-20 09:13:31_146
site_1,Changing voltage for 9GG3DISSVV1BQZZP from site_1 to set_normal_voltage,2024-11-20 09:13:35_735
site_3,Changing board state to Standby_active,2024-11-20 09:13:39_493
site_4,Changing board state to Standby_active,2024-11-20 09:13:42_483
site_4,Changing board state to Standby_failed,2024-11-20 09:13:43_476
site_3,Changing board state to Standby_failed,2024-11-20 09:13:46_326
site_4,Changing board state to Standby_active,2024-11-20 09:13:55_949
site_5,Changing voltage for ATJQ0J439JNYG8KD from site_5 to set_low_voltage,2024-11-20 09:13:57_339
site_2,Changing board state to Standby_failed,2024-11-20 09:13:59_300
site_3,Changing voltage for SVAKP416MMF6LABI from site_3 to set_low_voltage,2024-11-20 09:14:00_272
site_7,Changing board state to Standby_active,2024-11-20 09:14:00_839
site_1,Changing voltage for IG7C29XZBSI9IVGB from site_1 to set_normal_voltage,2024-11-20 09:14:06_765
site_8,Changing board state to Standby_failed,2024-11-20 09:14:07_184
site_4,Changing voltage for XYMSNABHT9XTK9CK from site_4 to set_high_voltage,2024-11-20 09:14:09_317
site_5,Changing board state to Standby_failed,2024-11-20 09:14:12_509
site_1,Changing voltage for GR9UWLAOGPAJ3OU5 from site_1 to set_normal_voltage,2024-11-20 09:14:12_848
site_2,Changing board state to Standby_active,2024-11-20 09:14:17_011
site_5,Changing board state to Standby_active,2024-11-20 09:14:18_784
site_4,Changing board state to Standby_failed,2024-11-20 09:14:27_943
site_5,Changing board state to Standby_failed,2024-11-20 09:14:29_931
site_6,Changing voltage for F7DDDK3JCATL2I9O from site_6 to set_normal_voltage,2024-11-20 09:14:34_760
site_1,Changing voltage for N9MYNZAX1BJJIWO3 from site_1 to set_high_voltage,2024-11-20 09:14:37_062
site_1,Changing voltage for EX67JGS13JV1NUI9 from site_1 to set_high_voltage,2024-11-20 09:14:38_633
site_6,Changing board state to Standby_failed,2024-11-20 09:14:41_504
site_3,Changing board state to Standby_active,2024-11-20 09:14:42_959
site_8,Changing voltage for W0A662CJC0XH04IZ from site_8 to set_low_voltage,2024-11-20 09:14:54_738
site_8,Changing voltage for HUIRFWVIICY5ICKU from site_8 to set_normal_voltage,2024-11-20 09:14:58_958
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:15:10_667
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:15:18_909
site_8,Changing board state to Standby_active,2024-11-20 09:15:20_115
site_8,Changing voltage for 1OCJC8RL5FU0I61S from site_8 to set_normal_voltage,2024-11-20 09:15:21_719
site_6,Changing voltage for 1OB2WOHAJ789M8Q9 from site_6 to set_normal_voltage,2024-11-20 09:15:27_131
site_6,Changing board state to Standby_active,2024-11-20 09:15:32_139
site_3,Changing board state to Standby_failed,2024-11-20 09:15:34_854
site_7,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:15:36_275
